ris rrc10 update 1446789125 valid A 217.29.66.86 12637 {'next-hop': '217.29.66.86', 'prefix': '1.4.128.0/17', 'as-path': '12637 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.86 12637 {'next-hop': '217.29.66.86', 'prefix': '1.4.192.0/18', 'as-path': '12637 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.103 13030 {'next-hop': '198.32.160.103', 'prefix': '1.4.128.0/17', 'as-path': '13030 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.103 13030 {'next-hop': '198.32.160.103', 'prefix': '1.4.192.0/19', 'as-path': '13030 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.103 13030 {'next-hop': '198.32.160.103', 'prefix': '1.4.192.0/18', 'as-path': '13030 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.103 13030 {'next-hop': '198.32.160.103', 'prefix': '1.9.0.0/16', 'as-path': '13030 9498'}
routeviews route-views.linx update 1446789125 valid A 195.66.236.175 13030 {'next-hop': '195.66.236.175', 'prefix': '1.9.0.0/16', 'as-path': '13030 9498'}
ris rrc14 update 1446789125 valid A 198.32.176.177 7575 {'next-hop': '198.32.176.203', 'prefix': '1.4.128.0/17', 'as-path': '7575 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.201 133165 {'next-hop': '202.79.197.40', 'prefix': '1.4.192.0/18', 'as-path': '133165 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.201 133165 {'next-hop': '202.79.197.40', 'prefix': '1.4.192.0/19', 'as-path': '133165 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.201 133165 {'next-hop': '202.79.197.40', 'prefix': '1.4.128.0/17', 'as-path': '133165 9498'}
ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.9.0.0/16', 'as-path': '13030 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.75 6939 {'next-hop': '198.32.132.75', 'prefix': '1.9.0.0/16', 'as-path': '6939 9498'}
routeviews route-views.linx update 1446789125 valid A 195.66.236.175 13030 {'next-hop': '195.66.236.175', 'prefix': '1.4.128.0/17', 'as-path': '13030 9498'}
routeviews route-views.nwax update 1446789125 valid A 198.32.195.24 15301 {'next-hop': '198.32.195.24', 'prefix': '1.9.0.0/16', 'as-path': '15301 6939 9498'}
ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.4.128.0/17', 'as-path': '13030 9498'}
routeviews route-views.nwax update 1446789125 valid A 198.32.195.46 54073 {'next-hop': '198.32.195.46', 'prefix': '1.9.0.0/16', 'as-path': '54073 2044 6939 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.157 9002 {'next-hop': '194.68.123.157', 'prefix': '1.4.192.0/19', 'as-path': '9002 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.157 9002 {'next-hop': '194.68.123.157', 'prefix': '1.4.192.0/18', 'as-path': '9002 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.157 9002 {'next-hop': '194.68.123.157', 'prefix': '1.4.128.0/17', 'as-path': '9002 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.157 9002 {'next-hop': '194.68.123.157', 'prefix': '1.9.0.0/16', 'as-path': '9002 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.4.192.0/18', 'as-path': '24482 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.4.192.0/19', 'as-path': '24482 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.158 24482 {'next-hop': '217.29.66.158', 'prefix': '1.4.128.0/17', 'as-path': '24482 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.75 6939 {'next-hop': '198.32.132.75', 'prefix': '1.9.177.0/24', 'as-path': '6939 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.217 8455 {'next-hop': '80.249.211.217', 'prefix': '1.4.192.0/18', 'as-path': '8455 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.217 8455 {'next-hop': '80.249.211.217', 'prefix': '1.4.192.0/19', 'as-path': '8455 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.217 8455 {'next-hop': '80.249.211.217', 'prefix': '1.4.128.0/17', 'as-path': '8455 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.157 9002 {'next-hop': '194.68.123.157', 'prefix': '1.9.177.0/24', 'as-path': '9002 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.159 24482 {'next-hop': '202.79.197.40', 'prefix': '1.9.177.0/24', 'as-path': '24482 9498'}
routeviews route-views.linx update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.9.0.0/16', 'as-path': '13030 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.9.177.0/24', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.9.0.0/16', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.4.192.0/18', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.4.192.0/19', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.4.128.0/17', 'as-path': '4181 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.206 5580 {'next-hop': '198.32.176.206', 'prefix': '1.4.192.0/18', 'as-path': '5580 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.206 5580 {'next-hop': '198.32.176.206', 'prefix': '1.4.192.0/19', 'as-path': '5580 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.206 5580 {'next-hop': '198.32.176.206', 'prefix': '1.4.128.0/17', 'as-path': '5580 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.206 5580 {'next-hop': '198.32.176.206', 'prefix': '1.9.0.0/16', 'as-path': '5580 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.206 5580 {'next-hop': '198.32.176.206', 'prefix': '1.9.177.0/24', 'as-path': '5580 9498'}
routeviews route-views.linx update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.4.128.0/17', 'as-path': '13030 9498'}
routeviews route-views.sydney update 1446789125 valid A 202.167.228.149 58511 {'next-hop': '202.167.228.149', 'prefix': '1.4.128.0/17', 'as-path': '58511 9498'}
routeviews route-views.sydney update 1446789125 valid A 202.167.228.149 58511 {'next-hop': '202.167.228.149', 'prefix': '1.4.192.0/19', 'as-path': '58511 9498'}
routeviews route-views.sydney update 1446789125 valid A 202.167.228.149 58511 {'next-hop': '202.167.228.149', 'prefix': '1.4.192.0/18', 'as-path': '58511 9498'}
routeviews route-views.sydney update 1446789125 valid A 202.167.228.149 58511 {'next-hop': '202.167.228.149', 'prefix': '1.9.0.0/16', 'as-path': '58511 9498'}
routeviews route-views.sydney update 1446789125 valid A 202.167.228.149 58511 {'next-hop': '202.167.228.149', 'prefix': '1.9.177.0/24', 'as-path': '58511 9498'}
ris rrc14 update 1446789125 valid A 198.32.176.147 14061 {'next-hop': '198.32.176.203', 'prefix': '1.4.192.0/19', 'as-path': '14061 9498'}
ris rrc14 update 1446789125 valid A 198.32.176.147 14061 {'next-hop': '198.32.176.203', 'prefix': '1.4.192.0/18', 'as-path': '14061 9498'}
ris rrc14 update 1446789125 valid A 198.32.176.147 14061 {'next-hop': '198.32.176.203', 'prefix': '1.4.128.0/17', 'as-path': '14061 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.86 12637 {'next-hop': '217.29.66.86', 'prefix': '1.9.0.0/16', 'as-path': '12637 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.4.128.0/17', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.4.192.0/19', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.4.192.0/18', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.9.0.0/16', 'as-path': '4181 9498'}
routeviews route-views.telxatl update 1446789125 valid A 198.32.132.28 4181 {'next-hop': '198.32.132.28', 'prefix': '1.9.177.0/24', 'as-path': '4181 9498'}
routeviews route-views.linx update 1446789125 valid A 195.66.224.99 13237 {'next-hop': '195.66.224.99', 'prefix': '1.9.0.0/16', 'as-path': '13237 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.226 24482 {'next-hop': '194.68.123.226', 'prefix': '1.4.192.0/18', 'as-path': '24482 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.226 24482 {'next-hop': '194.68.123.226', 'prefix': '1.4.192.0/19', 'as-path': '24482 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.226 24482 {'next-hop': '194.68.123.226', 'prefix': '1.4.128.0/17', 'as-path': '24482 9498'}
ris rrc10 update 1446789125 valid A 217.29.66.86 12637 {'next-hop': '217.29.66.86', 'prefix': '1.9.177.0/24', 'as-path': '12637 9498'}
ris rrc03 update 1446789125 valid A 80.249.208.34 1103 {'next-hop': '80.249.211.191', 'prefix': '1.4.192.0/19', 'as-path': '1103 9498'}
ris rrc03 update 1446789125 valid A 80.249.208.34 1103 {'next-hop': '80.249.211.191', 'prefix': '1.4.192.0/18', 'as-path': '1103 9498'}
ris rrc03 update 1446789125 valid A 80.249.208.34 1103 {'next-hop': '80.249.211.191', 'prefix': '1.4.128.0/17', 'as-path': '1103 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.226 24482 {'next-hop': '194.68.123.226', 'prefix': '1.9.0.0/16', 'as-path': '24482 9498'}
ris rrc00 update 1446789125 valid A 146.228.1.3 1836 {'next-hop': '146.228.1.3', 'prefix': '1.9.0.0/16', 'as-path': '1836 13030 9498'}
ris rrc07 update 1446789125 valid A 194.68.123.226 24482 {'next-hop': '194.68.123.226', 'prefix': '1.9.177.0/24', 'as-path': '24482 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.201 133165 {'next-hop': '202.79.197.40', 'prefix': '1.9.177.0/24', 'as-path': '133165 9498'}
routeviews route-views.linx update 1446789125 valid A 195.66.224.99 13237 {'next-hop': '195.66.224.99', 'prefix': '1.9.177.0/24', 'as-path': '13237 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.103 13030 {'next-hop': '198.32.160.103', 'prefix': '1.9.177.0/24', 'as-path': '13030 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.177 7575 {'next-hop': '198.32.176.203', 'prefix': '1.4.192.0/18', 'as-path': '7575 9498'}
routeviews route-views.isc update 1446789125 valid A 198.32.176.177 7575 {'next-hop': '198.32.176.203', 'prefix': '1.4.192.0/19', 'as-path': '7575 9498'}
ris rrc13 update 1446789125 valid A 193.232.244.147 28917 {'next-hop': '193.232.244.147', 'prefix': '1.9.0.0/16', 'as-path': '28917 9498'}
ris rrc01 update 1446789125 valid A 195.66.226.20 56730 {'next-hop': '195.66.225.109', 'prefix': '1.4.192.0/18', 'as-path': '56730 9498'}
